,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,response
0,3.26,0.8290000000000001,1.676,,,1.453,3.77
1,,0.58,,0.0,,1.348,3.115
2,2.125,0.638,0.831,0.0,0.0,1.348,3.531
3,3.027,0.331,1.472,1.0,0.0,1.807,
4,2.094,0.8270000000000001,,0.0,0.0,1.886,5.39
5,3.222,0.331,2.177,0.0,0.0,0.706,1.819
6,3.179,0.0,1.063,,0.0,2.942,3.947
7,3.0,0.0,0.938,,0.0,2.8510000000000004,3.513
8,2.62,0.499,0.99,,0.0,,4.402
9,2.834,0.134,0.95,0.0,0.0,1.591,3.0210000000000004
10,2.405,,0.843,,0.0,1.769,3.21
11,2.728,0.223,0.953,,0.0,1.591,2.371
12,2.512,0.223,0.929,1.0,0.0,1.769,3.919
13,2.834,0.134,1.237,0.0,0.0,1.859,3.03
14,2.819,0.331,1.271,0.0,1.0,0.981,2.736
15,2.126,0.251,,0.0,0.0,0.14300000000000002,2.157
16,2.834,0.134,1.3219999999999998,,0.0,1.199,2.4130000000000003
17,3.014,0.56,1.781,0.0,0.0,-0.115,0.898
18,3.024,0.452,,0.0,,1.107,0.45
19,3.036,0.405,1.205,1.0,0.0,1.807,
20,2.707,0.972,1.889,,3.0,-1.169,2.9760000000000004
21,2.978,1.246,1.103,0.0,,3.988,6.535
22,3.111,,0.923,0.0,0.0,4.0680000000000005,5.643
23,3.315,0.223,0.96,0.0,0.0,3.395,4.629
24,2.71,0.93,0.7240000000000001,0.0,0.0,,4.838
25,3.326,0.647,0.986,0.0,,3.112,4.081
26,3.332,0.134,1.294,0.0,0.0,2.51,3.4360000000000004
27,3.896,0.134,,0.0,0.0,2.591,3.45
28,3.155,,2.128,0.0,0.0,-0.937,1.102
29,2.479,0.887,0.954,0.0,0.0,1.7480000000000002,4.257
30,1.075,1.161,,0.0,1.0,0.024,5.386
31,3.645,0.223,1.155,0.0,0.0,2.837,
32,3.079,0.429,,,0.0,,1.308
33,3.332,,1.519,0.0,0.0,,3.554
34,2.7260000000000004,,1.179,0.0,1.0,1.06,2.269
35,3.532,,1.11,0.0,0.0,2.813,4.165
36,4.216,0.223,,0.0,,5.089,5.896
37,3.605,0.0,1.15,0.0,0.0,3.562,4.829
38,,0.223,0.944,,0.0,2.066,4.59
39,3.833,0.405,1.5219999999999998,0.0,1.0,3.492,2.092
40,3.669,,,0.0,0.0,2.274,3.665
41,2.824,0.223,1.0,1.0,0.0,2.102,3.56
42,2.233,0.64,,1.0,0.0,2.37,4.805
43,3.103,0.134,1.344,0.0,,1.533,3.174
44,4.413,0.56,,,,3.906,
45,3.641,0.331,1.933,0.0,1.0,1.565,2.67
46,,0.693,1.851,0.0,2.0,0.787,4.016
47,3.012,0.223,1.023,0.0,0.0,2.193,3.857
48,3.818,0.693,1.6269999999999998,2.0,2.0,2.217,5.522
49,4.171,0.693,1.6780000000000002,0.0,2.0,2.849,4.851
50,3.734,0.223,1.45,2.0,1.0,2.642,3.84
51,3.734,0.223,1.374,2.0,2.0,2.642,4.586
52,2.126,,0.7709999999999999,0.0,0.0,3.795,5.284
53,2.216,0.679,0.764,0.0,0.0,2.296,3.559
54,3.179,0.0,1.063,0.0,,2.942,4.091
55,2.62,,0.99,0.0,0.0,3.21,4.33
56,2.728,,0.953,,0.0,1.859,3.755
57,2.126,0.83,0.899,0.0,0.0,,4.552
58,2.216,0.5820000000000001,0.8390000000000001,0.0,0.0,2.127,3.62
59,2.086,0.64,0.838,0.0,0.0,2.127,4.459
60,2.834,0.134,,0.0,,1.859,2.827
61,2.126,0.405,0.917,4.0,2.0,0.411,6.38
62,3.08,0.405,1.609,1.0,1.0,1.619,4.7860000000000005
63,,0.64,,0.0,,0.408,3.861
64,2.219,0.604,1.537,,,2.026,3.262
65,1.594,0.223,1.3330000000000002,2.0,,0.094,
66,,0.499,1.4680000000000002,1.0,0.0,1.672,3.5460000000000003
67,1.5,0.83,,0.0,0.0,1.817,2.92
68,1.5119999999999998,0.64,1.844,0.0,0.0,,3.2030000000000003
69,2.56,0.134,1.758,0.0,0.0,0.34700000000000003,
70,1.818,0.134,1.445,,0.0,0.202,
71,,0.134,1.13,1.0,0.0,0.094,3.47
72,0.667,0.5820000000000001,1.361,0.0,0.0,0.202,4.748
73,2.333,,1.946,0.0,0.0,-1.053,2.576
74,2.026,0.223,1.429,1.0,0.0,0.202,5.259
75,1.594,0.223,1.068,0.0,,0.202,4.564
76,0.965,0.64,1.695,1.0,,0.202,4.37
77,,,,0.0,0.0,-1.053,0.053
78,1.0,0.405,1.5,2.0,0.0,-1.306,2.381
79,1.5119999999999998,0.331,1.6269999999999998,1.0,0.0,-0.386,2.891
80,,0.405,1.605,0.0,0.0,,1.088
81,3.74,0.134,1.581,0.0,0.0,2.274,3.721
82,3.669,0.486,,0.0,0.0,3.2910000000000004,3.701
83,,1.374,2.259,0.0,,2.05,6.082999999999998
84,,0.134,1.671,0.0,0.0,6.2029999999999985,4.628
85,3.802,0.405,1.527,1.0,0.0,1.869,3.7
86,2.802,0.223,1.6,0.0,1.0,1.064,1.842
87,2.242,1.096,1.907,0.0,1.0,-1.96,3.3960000000000004
88,1.94,0.7490000000000001,1.0659999999999998,0.0,0.0,1.492,2.99
89,2.126,0.405,1.69,,1.0,,3.573
90,,0.223,1.5830000000000002,0.0,1.0,1.442,2.271
91,3.277,0.223,1.869,0.0,0.0,1.587,2.085
92,3.179,,,0.0,0.0,2.942,3.822
93,2.728,0.223,0.953,0.0,0.0,1.859,3.29
94,2.62,0.499,0.99,0.0,0.0,3.21,3.84
95,2.216,0.5820000000000001,0.8390000000000001,0.0,0.0,2.127,3.979
96,2.834,0.134,0.95,0.0,0.0,1.859,
97,2.359,0.405,0.8140000000000001,0.0,0.0,0.893,3.314
98,2.565,0.693,1.987,0.0,2.0,0.057,4.0310000000000015
99,2.085,,0.895,0.0,,,4.74
100,2.26,0.604,0.836,0.0,0.0,3.045,4.194
101,2.91,0.0,1.0,0.0,0.0,,3.447
102,2.512,0.134,1.293,0.0,0.0,0.846,2.364
103,2.26,0.499,0.907,0.0,0.0,2.8760000000000003,3.645
104,3.08,0.223,1.385,0.0,0.0,1.195,2.07
105,,0.223,,0.0,1.0,1.05,2.27
106,2.386,0.223,0.857,0.0,0.0,1.506,3.513
107,2.512,0.134,1.293,0.0,0.0,,2.8110000000000004
108,3.509,0.8540000000000001,1.4780000000000002,,0.0,2.248,
109,2.98,0.251,2.261,,0.0,,1.639
110,2.512,0.134,1.293,,0.0,0.846,2.016
111,,0.251,,0.0,0.0,-0.063,1.651
112,3.462,0.405,1.717,0.0,,2.06,4.097
113,,0.405,,0.0,1.0,0.996,3.123
114,2.755,0.405,1.844,0.0,1.0,0.996,3.2310000000000003
115,2.024,0.977,1.328,0.0,0.0,2.604,5.052
116,,0.604,1.529,0.0,,,3.572
117,2.878,0.134,1.6840000000000002,0.0,0.0,0.8,2.436
118,1.961,,1.215,1.0,0.0,0.5479999999999999,2.567
119,2.665,0.251,1.7619999999999998,0.0,0.0,-0.534,1.795
120,1.251,0.251,1.126,0.0,0.0,-0.7859999999999999,5.072
121,2.377,0.331,2.111,,,-0.534,2.156
122,2.366,0.405,2.6060000000000003,0.0,,,1.037
123,2.878,,,0.0,0.0,0.8,1.932
124,1.961,,1.27,0.0,0.0,0.156,2.505
